Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
F1,28/03/2025,19:45,Strasbourg,Lyon,4,2,H
F1,29/03/2025,16:00,Reims,Marseille,3,1,H
F1,29/03/2025,18:00,St Etienne,Paris SG,1,6,A
F1,29/03/2025,20:05,Monaco,Nice,2,1,H
F1,30/03/2025,14:00,Toulouse,Brest,2,4,A
F1,30/03/2025,16:15,Angers,Rennes,0,3,A
F1,30/03/2025,16:15,Auxerre,Montpellier,1,0,H
F1,30/03/2025,16:15,Le Havre,Nantes,3,2,H
F1,30/03/2025,19:45,Lille,Lens,1,0,H
F1,04/04/2025,19:45,Nice,Nantes,1,2,A
F1,05/04/2025,16:00,Paris SG,Angers,1,0,H
F1,05/04/2025,18:00,Brest,Monaco,2,1,H
F1,05/04/2025,20:05,Lyon,Lille,2,1,H
F1,06/04/2025,14:00,Lens,St Etienne,1,0,H
F1,06/04/2025,16:15,Montpellier,Le Havre,0,2,A
F1,06/04/2025,16:15,Reims,Strasbourg,0,1,A
F1,06/04/2025,16:15,Rennes,Auxerre,0,1,A
F1,06/04/2025,19:45,Marseille,Toulouse,3,2,H
F1,11/04/2025,19:45,Lens,Reims,0,2,A
F1,12/04/2025,16:00,Monaco,Marseille,3,0,H
F1,12/04/2025,18:00,Toulouse,Lille,1,2,A
F1,12/04/2025,20:05,Strasbourg,Nice,2,2,D
F1,13/04/2025,14:00,St Etienne,Brest,3,3,D
F1,13/04/2025,16:15,Angers,Montpellier,2,0,H
F1,13/04/2025,16:15,Le Havre,Rennes,1,5,A
F1,13/04/2025,19:45,Auxerre,Lyon,1,3,A
F1,18/04/2025,19:45,Rennes,Nantes,2,1,H
F1,19/04/2025,16:00,Paris SG,Le Havre,2,1,H
F1,19/04/2025,18:00,Monaco,Strasbourg,0,0,D
F1,19/04/2025,20:05,Marseille,Montpellier,5,1,H
F1,20/04/2025,14:00,Lille,Auxerre,3,1,H
F1,20/04/2025,16:15,Brest,Lens,1,3,A
F1,20/04/2025,16:15,Nice,Angers,2,1,H
F1,20/04/2025,16:15,Reims,Toulouse,1,0,H
F1,20/04/2025,19:45,St Etienne,Lyon,2,1,H
F1,22/04/2025,19:45,Nantes,Paris SG,1,1,D
F1,25/04/2025,19:45,Paris SG,Nice,1,3,A
F1,26/04/2025,16:00,Strasbourg,St Etienne,3,1,H
F1,26/04/2025,18:00,Le Havre,Monaco,1,1,D
F1,26/04/2025,20:05,Lyon,Rennes,4,1,H
F1,27/04/2025,14:00,Angers,Lille,0,2,A
F1,27/04/2025,16:15,Lens,Auxerre,0,4,A
F1,27/04/2025,16:15,Montpellier,Reims,0,0,D
F1,27/04/2025,16:15,Nantes,Toulouse,0,0,D
F1,27/04/2025,19:45,Marseille,Brest,4,1,H
F1,02/05/2025,19:45,Nice,Reims,1,0,H
F1,03/05/2025,16:00,Strasbourg,Paris SG,2,1,H
F1,03/05/2025,18:00,Toulouse,Rennes,2,1,H
F1,03/05/2025,20:05,St Etienne,Monaco,1,3,A
F1,04/05/2025,14:00,Nantes,Angers,0,1,A
F1,04/05/2025,16:15,Auxerre,Le Havre,1,2,A
F1,04/05/2025,16:15,Brest,Montpellier,1,0,H
F1,04/05/2025,16:15,Lyon,Lens,1,2,A
F1,04/05/2025,19:45,Lille,Marseille,1,1,D
F1,10/05/2025,20:00,Angers,Strasbourg,2,1,H
F1,10/05/2025,20:00,Auxerre,Nantes,1,1,D
F1,10/05/2025,20:00,Brest,Lille,2,0,H
F1,10/05/2025,20:00,Le Havre,Marseille,1,3,A
F1,10/05/2025,20:00,Monaco,Lyon,2,0,H
F1,10/05/2025,20:00,Montpellier,Paris SG,1,4,A
F1,10/05/2025,20:00,Reims,St Etienne,0,2,A
F1,10/05/2025,20:00,Rennes,Nice,2,0,H
F1,10/05/2025,20:00,Toulouse,Lens,1,1,D
F1,17/05/2025,20:00,Lens,Monaco,4,0,H
F1,17/05/2025,20:00,Lille,Reims,2,1,H
F1,17/05/2025,20:00,Lyon,Angers,2,0,H
F1,17/05/2025,20:00,Marseille,Rennes,4,2,H
F1,17/05/2025,20:00,Nantes,Montpellier,3,0,H
F1,17/05/2025,20:00,Nice,Brest,6,0,H
F1,17/05/2025,20:00,Paris SG,Auxerre,3,1,H
F1,17/05/2025,20:00,St Etienne,Toulouse,2,3,A
F1,17/05/2025,20:00,Strasbourg,Le Havre,2,3,A
F1,05/08/2022,20:00,Lyon,Ajaccio,2,1,H
F1,06/08/2022,16:00,Strasbourg,Monaco,1,2,A
F1,06/08/2022,20:00,Clermont,Paris SG,0,5,A
F1,07/08/2022,12:00,Toulouse,Nice,1,1,D
F1,07/08/2022,14:00,Angers,Nantes,0,0,D
F1,07/08/2022,14:00,Lens,Brest,3,2,H
F1,07/08/2022,14:00,Lille,Auxerre,4,1,H
F1,07/08/2022,14:00,Montpellier,Troyes,3,2,H
F1,07/08/2022,16:05,Rennes,Lorient,0,1,A
F1,07/08/2022,19:45,Marseille,Reims,4,1,H
F1,12/08/2022,20:00,Nantes,Lille,1,1,D
F1,13/08/2022,16:00,Monaco,Rennes,1,1,D
F1,13/08/2022,20:00,Paris SG,Montpellier,5,2,H
F1,14/08/2022,14:00,Ajaccio,Lens,0,0,D
F1,14/08/2022,14:00,Auxerre,Angers,2,2,D
F1,14/08/2022,14:00,Reims,Clermont,2,4,A
F1,14/08/2022,14:00,Troyes,Toulouse,0,3,A
F1,14/08/2022,16:05,Nice,Strasbourg,1,1,D
F1,14/08/2022,19:45,Brest,Marseille,1,1,D
F1,19/08/2022,20:00,Lyon,Troyes,4,1,H
F1,20/08/2022,16:00,Monaco,Lens,1,4,A
